,0,1,2,3,4,5,6,7,8,9,10
28,236950, 244268, 217140, 236754, 172928, 244900, 198617, 235295, 210312, 236471,236950
29,239095, 201301, 139274, 234619, 235216, 223725, 252183, 251182, 169481, 213670,239095
30,187193, 219671, 165153, 228967, 193116, 213206, 237525, 202002, 199568, 225285,187193
31,191556, 209435, 234333, 162900, 214094, 190424, 237300, 182130, 181271, 170231,191556
32,242490, 203292, 53014, 232415, 219455, 219604, 238820, 224021, 244514, 239367,242490
33,216526, 204881, 242013, 248072, 220900, 241648, 189625, 212240, 219164, 193478,216526
34,219661, 224378, 202106, 219164, 215057, 245742, 205633, 190460, 234515, 207984,219661
35,235077, 233267, 243080, 240783, 238347, 204104, 252384, 213489, 240904, 235563,235077
36,232595, 228091, 230568, 237420, 221322, 233772, 227989, 234950, 215969, 224250,232595
37,223898, 246594, 197975, 234512, 226556, 164855, 225733, 204684, 202603, 188876,223898
38,214882, 237615, 186839, 235626, 240336, 166990, 138336, 247046, 246771, 209988,214882
39,199074, 216155, 229362, 239548, 225152, 110606, 242811, 171833, 238372, 187171,199074
40,188381, 204166, 234967, 245771, 190620, 233328, 212819, 252559, 207984, 204939,188381
41,242544, 203026, 199302, 223749, 145996, 238934, 207754, 210492, 212046, 202429,242544
42,235794, 232017, 212066, 193961, 164468, 209065, 232505, 236725, 225955, 236586,235794
43,215756, 230767, 205868, 227621, 204042, 192608, 192774, 140029, 236343, 187570,215756
44,252448, 232672, 211300, 198849, 246595, 216114, 220900, 208355, 169345, 225867,252448
45,209040, 193581, 237214, 244415, 237658, 230855, 229079, 226268, 238986, 238934,209040
46,238813, 229011, 227394, 231587, 212208, 192912, 228483, 178746, 227224, 225986,238813
47,238780, 240208, 163616, 214339, 189397, 243581, 199801, 219869, 179681, 237435,238780
48,213107, 199594, 203292, 237217, 146996, 199569, 214704, 176773, 222982, 180595,213107
49,200798, 209102, 234774, 228309, 188305, 202695, 222514, 237933, 201401, 230661,200798
50,225021, 239423, 243299, 174013, 243162, 238820, 179765, 207443, 212818, 203875,225021
51,220132, 243896, 235515, 198160, 246745, 190556, 251628, 237640, 234832, 199205,220132
52,248093, 222391, 184031, 210264, 251745, 236695, 198135, 236172, 193251, 191814,248093
53,239475, 152993, 191050, 251217, 234686, 229194, 241998, 222840, 160165, 237766,239475
54,206053, 222428, 178461, 241140, 230447, 237246, 230665, 246875, 245503, 190454,206053
55,229701, 219725, 234239, 240481, 210004, 208621, 170903, 221705, 252260, 186805,229701
56,240227, 241176, 194171, 243301, 228093, 239431, 214226, 240532, 170231, 229325,240227
57,176542, 211875, 237037, 212087, 187093, 209750, 238326, 154950, 188602, 201368,176542
58,235977, 214875, 186805, 173401, 186274, 237913, 243737, 207877, 156221, 199412,235977
59,226877, 183147, 232461, 193411, 125871, 227656, 161733, 223029, 186590, 221789,226877
60,221801, 201847, 234787, 239245, 226186, 221732, 252505, 202884, 246592, 184873,221801
61,232725, 172568, 231237, 221987, 246431, 209378, 240507, 239499, 240437, 202501,232725
62,177326, 236945, 205870, 229325, 245056, 214445, 212037, 213835, 177353, 235046,177326
63,237280, 236028, 195036, 200900, 228935, 190793, 206485, 212046, 158937, 196339,237280
64,216036, 240997, 206101, 159265, 226579, 211006, 160166, 186805, 222544, 152828,216036
65,214874, 209304, 190201, 229473, 194018, 175613, 220502, 213113, 188017, 220588,214874
66,233213, 191068, 229156, 226467, 182473, 176920, 232609, 226356, 194050, 221534,233213
67,224345, 214331, 178086, 240934, 194361, 235561, 219861, 241445, 231237, 209417,224345
68,231945, 180351, 243599, 190589, 179636, 48722, 233785, 239617, 237436, 228887,231945
69,210392, 202814, 250881, 208120, 219680, 186253, 225583, 177790, 240950, 209491,210392
70,202968, 237920, 181681, 9676, 248488, 219931, 199475, 230235, 182409, 207566,202968
71,229064, 236991, 115533, 245058, 160206, 140180, 208096, 210911, 219538, 193130,229064
72,243244, 239342, 183353, 189962, 209177, 107263, 219549, 232810, 229401, 241743,243244
73,248843, 201408, 210333, 189776, 237850, 239933, 214771, 220165, 233021, 193875,248843
74,252115, 212385, 191202, 237920, 239920, 238089, 247027, 240639, 159202, 187366,252115
75,167308, 169051, 243841, 240906, 200954, 230415, 226447, 242322, 229153, 230317,167308
76,229261, 227476, 229446, 200228, 240023, 235277, 225769, 205937, 215334, 230079,229261
77,252171, 224876, 243066, 210644, 222600, 208835, 156894, 206086, 244915, 238596,252171
78,212214, 198143, 213982, 203287, 244715, 134792, 210665, 188427, 240079, 195864,212214
79,227148, 192473, 230983, 238270, 205995, 183855, 202695, 229454, 239073, 240129,227148
80,226523, 232555, 236786, 210863, 195586, 208594, 193781, 246283, 238803, 238008,226523
81,152552, 188836, 243235, 241476, 214158, 229397, 159985, 241502, 240501, 236416,152552
82,246881, 171896, 182179, 209411, 208053, 202321, 237705, 220710, 242811, 233372,246881
83,246610, 209423, 223054, 233866, 204337, 169697, 216705, 227584, 173179, 240906,246610
84,193147, 155694, 241210, 175963, 251559, 223229, 230029, 228769, 231848, 191657,193147
85,233915, 223755, 224599, 191034, 193276, 224018, 229601, 237590, 214379, 208297,233915
86,242206, 236528, 221425, 251336, 204301, 248489, 237227, 197233, 246064, 224445,242206
87,195481, 199909, 162174, 181910, 235274, 176270, 215336, 208424, 237854, 192261,195481
88,180339, 190682, 215328, 183895, 233738, 193337, 230660, 191378, 229642, 236572,180339
89,134744, 240768, 233285, 245761, 223498, 248056, 210312, 225976, 207610, 252155,134744
90,183556, 157392, 232843, 195380, 238010, 223752, 224524, 200319, 210275, 204101,183556
91,230144, 237080, 199663, 239606, 226807, 228578, 237918, 236251, 238955, 236531,230144
92,178160, 203138, 232609, 208295, 240805, 237419, 216237, 137506, 234731, 231582,178160
93,221433, 230297, 200931, 214918, 245448, 209892, 230388, 201024, 212493, 202882,221433
94,160016, 187644, 209401, 191050, 201301, 210134, 172516, 190575, 221852, 189908,160016
95,234387, 248840, 222342, 231150, 236600, 234033, 236651, 188107, 195011, 206562,234387
96,137774, 222636, 230367, 239362, 225790, 242336, 189730, 204977, 239431, 244952,137774
97,239995, 246744, 201129, 241207, 221562, 206207, 201455, 234143, 197439, 240826,239995
98,239431, 240912, 220843, 219640, 228402, 239149, 248162, 178379, 241686, 238286,239431
99,186115, 237823, 239781, 214482, 159028, 236364, 231486, 240336, 157978, 208303,186115
100,212560, 251102, 222775, 226630, 215275, 209816, 235975, 213009, 225419, 230681,212560
101,214515, 183220, 178418, 238589, 227412, 213464, 208474, 229047, 237253, 240188,214515
102,245860, 228645, 210864, 168354, 197062, 159906, 234515, 208030, 228736, 228664,245860
103,231615, 200159, 235033, 248018, 224030, 53593, 163155, 201455, 235702, 54033,231615
104,202135, 240759, 226414, 238356, 192824, 192555, 236893, 237886, 232476, 240919,202135
105,238994, 248360, 160133, 206440, 213732, 204350, 199577, 189251, 237209, 197496,238994
106,176949, 140233, 220198, 193739, 230686, 241117, 209453, 240732, 246398, 240393,176949
107,232870, 204816, 212811, 237371, 219487, 247755, 201290, 187916, 202033, 225201,232870
108,248072, 190330, 224002, 244280, 195357, 242090, 192613, 197756, 215245, 206500,248072
109,211655, 233895, 229391, 202932, 227600, 231536, 221270, 203502, 237376, 226879,211655
110,230531, 206317, 232580, 205551, 199626, 226879, 232125, 207441, 219740, 195313,230531
111,243122, 238165, 229494, 231595, 223756, 170320, 240007, 244887, 224894, 227412,243122
112,233201, 235216, 231924, 184716, 192883, 252456, 218212, 194846, 182761, 191669,233201
113,232097, 202458, 232105, 221831, 238550, 165561, 202179, 239028, 244390, 244859,232097
114,212198, 193169, 215930, 139259, 238737, 216269, 240227, 215990, 234122, 226747,212198
115,231919, 246801, 234801, 175613, 228326, 210004, 240776, 237658, 251023, 244836,231919
116,204104, 177156, 209609, 230358, 169078, 170110, 232193, 141111, 139476, 167532,204104
117,190558, 163143, 185316, 200588, 212947, 212948, 232787, 216390, 237750, 228091,190558
118,232203, 198011, 233763, 207892, 230869, 235176, 243446, 159040, 225768, 240641,232203
119,225068, 225584, 229475, 203060, 248702, 212459, 236692, 199815, 225344, 233135,225068
120,234468, 178051, 153061, 221358, 232709, 244093, 228483, 189691, 208621, 225995,234468
121,238059, 211243, 216706, 240007, 237595, 231281, 246158, 239028, 192387, 227082,238059
122,215451, 215112, 204348, 203042, 240055, 189780, 204354, 241117, 198513, 214104,215451
123,191569, 198654, 197891, 209453, 139533, 217841, 199060, 237415, 236950, 213665,191569
124,230029, 216526, 196948, 140498, 189242, 171877, 242584, 221425, 225430, 215057,230029
125,213661, 198331, 228860, 240041, 244810, 234376, 232832, 204367, 224810, 241113,213661
126,239404, 212560, 181685, 230258, 152993, 238818, 240550, 211117, 215756, 155976,239404
127,240521, 213400, 216791, 251838, 212715, 194753, 179616, 237749, 238223, 207783,240521
128,235553, 137510, 243070, 239709, 164082, 223154, 243628, 221456, 210538, 215798,235553
129,162397, 248256, 213530, 190516, 186228, 240021, 204386, 238621, 211702, 221857,162397
130,190461, 219808, 205407, 169069, 200073, 173891, 237391, 179930, 215422, 214144,190461
131,235658, 225381, 181499, 230315, 193338, 251288, 230255, 188970, 239836, 232270,235658
132,183389, 231105, 229945, 229153, 232747, 222369, 198497, 251608, 203979, 183975,183389
133,210773, 204380, 209701, 237683, 221764, 247328, 187517, 237269, 225034, 243881,210773
134,190264, 221711, 173859, 238126, 237436, 231228, 216549, 230416, 193796, 204352,190264
135,231818, 199909, 203067, 213951, 233432, 229758, 212208, 243156, 236786, 230328,231818
136,236854, 245392, 205999, 243521, 185373, 219814, 210761, 212960, 235226, 227951,236854
137,252400, 236251, 221363, 233484, 245776, 234172, 228701, 176949, 192658, 229054,252400
138,237715, 230452, 238579, 242065, 227982, 204447, 203486, 176403, 180283, 129566,237715
139,204709, 148203, 160024, 156616, 236111, 226579, 208544, 213334, 182816, 240964,204709
140,239242, 226677, 213355, 246169, 240476, 212616, 3665, 250847, 233591, 236747,239242
141,247332, 238194, 230971, 230278, 189881, 242194, 215559, 214807, 233397, 236365,247332
142,210312, 239741, 242342, 227041, 234472, 216048, 209935, 208164, 184261, 211911,210312
143,215559, 238767, 211814, 230421, 231113, 244187, 159983, 231298, 206219, 135190,215559
144,229349, 201114, 208459, 212449, 211184, 193303, 239249, 189544, 110677, 209288,229349
145,165449, 225550, 135218, 186559, 158138, 208681, 186450, 210213, 233476, 177123,165449
146,241691, 193953, 172179, 235590, 240032, 241097, 235154, 204776, 223468, 235905,241691
147,206650, 54018, 244825, 244882, 242144, 221695, 182728, 252542, 214923, 228774,206650
148,208188, 219661, 231602, 252186, 197445, 212977, 244050, 151270, 237926, 190143,208188
149,245382, 222991, 245723, 236725, 225696, 234774, 220478, 143745, 179613, 229206,245382
150,232907, 200918, 248834, 239955, 230857, 229658, 244962, 210008, 237537, 221762,232907
151,242848, 232520, 182520, 251699, 215568, 231874, 194665, 213063, 247892, 225352,242848
152,160088, 180690, 234472, 159591, 226077, 232097, 239715, 243551, 240151, 214197,160088
153,203864, 245369, 204884, 208485, 233401, 235374, 178766, 225133, 237116, 245307,203864
154,208295, 252560, 221528, 200473, 241150, 246307, 228701, 213127, 51921, 181271,208295
155,243245, 235360, 212816, 220337, 235656, 239894, 182412, 241068, 164529, 244912,243245
156,170516, 181917, 198717, 220659, 214028, 229245, 229041, 183909, 235239, 212988,170516
157,201455, 245341, 214191, 193103, 240784, 241067, 238373, 238354, 24630, 211879,201455
158,211204, 228349, 198329, 238941, 223009, 139459, 236960, 214969, 240825, 194149,211204
159,221622, 188925, 229507, 226419, 201549, 199254, 204699, 225680, 194879, 230471,221622
160,236945, 210679, 171868, 221618, 205849, 231107, 239358, 247213, 232786, 216524,236945
161,211522, 240927, 216476, 222900, 233372, 227604, 229494, 212366, 235297, 229067,211522
162,197300, 231630, 208544, 183819, 189280, 208752, 231728, 170231, 192823, 183122,197300
163,243497, 231949, 243017, 240915, 204762, 239712, 219581, 250884, 230486, 193897,243497
164,189263, 238038, 203889, 169631, 168583, 230674, 205593, 191679, 223061, 248162,189263
165,230727, 243687, 169697, 237331, 241130, 190264, 215195, 246829, 176772, 187924,230727
166,225486, 197756, 211428, 188594, 220302, 184352, 236524, 238617, 168253, 215792,225486
167,238503, 224496, 245687, 229601, 230291, 213516, 198710, 250938, 228315, 244068,238503
168,234640, 247131, 160210, 225694, 181015, 215111, 176061, 244109, 223010, 171723,234640
169,207902, 218659, 228747, 199305, 241089, 184461, 231612, 209288, 241090, 155671,207902
170,213959, 172960, 199110, 226877, 237659, 183425, 162388, 206492, 226376, 201474,213959
171,251559, 189819, 172780, 236375, 240589, 237765, 170082, 223091, 238860, 239116,251559
172,223009, 188086, 239993, 236033, 237280, 229845, 229758, 203256, 189492, 237776,223009
173,239671, 190698, 205212, 198856, 189141, 164561, 240175, 190178, 224348, 240172,239671
174,183643, 237194, 140456, 236829, 211203, 228114, 236509, 214679, 201515, 247696,183643
175,202562, 195356, 232609, 177285, 192467, 244579, 233642, 219909, 235397, 190457,202562
176,189485, 251607, 228675, 245351, 222391, 189387, 207744, 234196, 146058, 203213,189485
177,231144, 221570, 214018, 204550, 199691, 241000, 232433, 173895, 239858, 236876,231144
178,230765, 226553, 204977, 251795, 219293, 208330, 230789, 229956, 223624, 236937,230765
179,235519, 142705, 214969, 216466, 157304, 229711, 244620, 169933, 226800, 239409,235519
180,202117, 215083, 204307, 209411, 203824, 224967, 231924, 236308, 224344, 219688,202117
181,212811, 215990, 228847, 252000, 245564, 217709, 246398, 244136, 224940, 217036,212811
182,203766, 239423, 199416, 240855, 210475, 223779, 192129, 223359, 177528, 228111,203766
183,215665, 210475, 209888, 212911, 203793, 240055, 187570, 191390, 240177, 250942,215665
184,190110, 251934, 208374, 236290, 227788, 140456, 240200, 189061, 225359, 193757,190110
185,198223, 152908, 165502, 225199, 215259, 167532, 225321, 224301, 247475, 159375,198223
186,201094, 177279, 230144, 227370, 202652, 241268, 182001, 204966, 201475, 202179,201094
187,241418, 201335, 228309, 150477, 233017, 212536, 243234, 241866, 203038, 245257,241418
188,191148, 200672, 230259, 210925, 247181, 246035, 152735, 230162, 219555, 235316,191148
189,224265, 167933, 183024, 173147, 252071, 232696, 162932, 193728, 245898, 225034,224265
190,239483, 227547, 221434, 234635, 218880, 195427, 240577, 191222, 179973, 199840,239483
191,225678, 189018, 240290, 183807, 198253, 212245, 239986, 244419, 238237, 252560,225678
192,247610, 211862, 201452, 231120, 213666, 172178, 209750, 238126, 194053, 225510,247610
193,189148, 203348, 241591, 204058, 225589, 208450, 238882, 201890, 169426, 158540,189148
194,184407, 248476, 232473, 246565, 210791, 235508, 228745, 192337, 206152, 243156,184407
195,193561, 230759, 207531, 228419, 219555, 240856, 245211, 213488, 229359, 240563,193561
196,212240, 227630, 202276, 239946, 228962, 182474, 204078, 229864, 242637, 196952,212240
197,153079, 234891, 244100, 122066, 241984, 187347, 208589, 200577, 104442, 215527,153079
198,184527, 241854, 234198, 203092, 201888, 245088, 206167, 158942, 193735, 234827,184527
199,245321, 207454, 184422, 238051, 233092, 200312, 51159, 239752, 183774, 244503,245321
200,216273, 245151, 198394, 199131, 232105, 240702, 248721, 220938, 239340, 240081,216273
201,244814, 190149, 211952, 232910, 225606, 190504, 215788, 237910, 204823, 193283,244814
202,241341, 189857, 243735, 198023, 176993, 104442, 229046, 240025, 187154, 152729,241341
203,229237, 231026, 197148, 220912, 207984, 225034, 223143, 211053, 241704, 218621,229237
204,232451, 224151, 179551, 164854, 238657, 213095, 107305, 239717, 216594, 229752,232451
205,214843, 226747, 236297, 240411, 162221, 244570, 197838, 216477, 240505, 224633,214843
206,237748, 231650, 223665, 193839, 193186, 193344, 225931, 222572, 243315, 156313,237748
207,243343, 244287, 230474, 237201, 220708, 212260, 213400, 207783, 172520, 222079,243343
208,238019, 225511, 214084, 232125, 169345, 222853, 215131, 200446, 220061, 212513,238019
209,176553, 184288, 251076, 230312, 189163, 233079, 211504, 193358, 243707, 251693,176553
210,206489, 169941, 226229, 184290, 237369, 232419, 204830, 244425, 169645, 226129,206489
211,232458, 178509, 241496, 179842, 191569, 186572, 159917, 212831, 164505, 186305,232458
212,210502, 239428, 237780, 245549, 222692, 212035, 242409, 208589, 160009, 238447,210502
213,246064, 237867, 207554, 231353, 134792, 237973, 240886, 241543, 241468, 232136,246064
214,215412, 213253, 228908, 212214, 202283, 230757, 180894, 183574, 208920, 240119,215412
215,246730, 192593, 233403, 225199, 203461, 229705, 237595, 193206, 236858, 225931,246730
216,189013, 226268, 210864, 235419, 163600, 176732, 225146, 244355, 206295, 169710,189013
217,238743, 189357, 203038, 200233, 252448, 193706, 234722, 242431, 207863, 232657,238743
218,237722, 226129, 240347, 216483, 186140, 248342, 191269, 240509, 225584, 243630,237722
219,199482, 241502, 224067, 238259, 239986, 214489, 180819, 225434, 236636, 247825,199482
220,230526, 193103, 231123, 233425, 162886, 222024, 219652, 210129, 247195, 220087,230526
221,206317, 191044, 211621, 232512, 230407, 204476, 230297, 220008, 240351, 243529,206317
222,180930, 240849, 159028, 239807, 208230, 216390, 235074, 211044, 183475, 247968,180930
223,245532, 191034, 208596, 237744, 248136, 221953, 221425, 231128, 189251, 196916,245532
224,236507, 193116, 190454, 235514, 243607, 250941, 210313, 239922, 200130, 222337,236507
225,238088, 199691, 224123, 188772, 233785, 243023, 232062, 214394, 251537, 204985,238088
226,238583, 221329, 173179, 226805, 204966, 235939, 242664, 240530, 241890, 152908,238583
227,176773, 216416, 230148, 222404, 176919, 203505, 246045, 227274, 214570, 224378,176773
228,232081, 237765, 224542, 213871, 160166, 214250, 188625, 149309, 183820, 211437,232081
229,233962, 214198, 182695, 213655, 198625, 210783, 193909, 244945, 188836, 211453,233962
230,204830, 222832, 246854, 252156, 216284, 235866, 239979, 244812, 229636, 183847,204830
231,208291, 221714, 215064, 176676, 231575, 216503, 235377, 192123, 216699, 229878,208291
232,175314, 225926, 241992, 245222, 176994, 205556, 199897, 213063, 215443, 225782,175314
233,236703, 210126, 239872, 199577, 193728, 227647, 225455, 173325, 214200, 232342,236703
234,236006, 226273, 208375, 241100, 237596, 183287, 231235, 183007, 242187, 207783,236006
235,176631, 244123, 210313, 211063, 240398, 250989, 232105, 234994, 217201, 219626,176631
236,228770, 197891, 227599, 185373, 251939, 233546, 230446, 247394, 210249, 219158,228770
237,239552, 235626, 226379, 252746, 177156, 235154, 214595, 223352, 169281, 193226,239552
238,228751, 198329, 193061, 212381, 215259, 242642, 209696, 238834, 207836, 137351,228751
239,245418, 231111, 239852, 233808, 247102, 247968, 164561, 181685, 234377, 208478,245418
240,195262, 213530, 186942, 225583, 202182, 171146, 242090, 236505, 251041, 237373,195262
241,236290, 243636, 203965, 167812, 245771, 167559, 199475, 205965, 221358, 202171,236290
242,197966, 221789, 147782, 233880, 232377, 213151, 104900, 215574, 201847, 138918,197966
243,219436, 230312, 206549, 238974, 11381, 209769, 124375, 178283, 238131, 219740,219436
244,215812, 228610, 192622, 160165, 203544, 214294, 181499, 205644, 178218, 231172,215812
245,171067, 239259, 214415, 210902, 245528, 232562, 172620, 158138, 205443, 194894,171067
246,230829, 191843, 244415, 237428, 206141, 171320, 233029, 205941, 193251, 247269,230829
247,238820, 243717, 162407, 189962, 182837, 210327, 248257, 235237, 232081, 208453,238820
248,242987, 229901, 199569, 230857, 236406, 155976, 234686, 228967, 233142, 232136,242987
249,232432, 209997, 202311, 235014, 233067, 224842, 244212, 197907, 160164, 218540,232432
250,201981, 237218, 220152, 205365, 125167, 227732, 163418, 242452, 200054, 203544,201981
251,240024, 194679, 184287, 237403, 221433, 233487, 193310, 207935, 101880, 211915,240024
252,193222, 212066, 182043, 204324, 244218, 237830, 228912, 239706, 190620, 163757,193222
253,229771, 239993, 231863, 235152, 219725, 216017, 214238, 246748, 212664, 199741,229771
254,191924, 220940, 242916, 233315, 199556, 209761, 238772, 241245, 221425, 239500,191924
255,214294, 172561, 163757, 239245, 232657, 207858, 160041, 225105, 186511, 213673,214294
256,200918, 188397, 220182, 174549, 219584, 202035, 231946, 163873, 237889, 252682,200918
257,238953, 177906, 214200, 201914, 225127, 232708, 227698, 202079, 160069, 207645,238953
258,213444, 205347, 201816, 184749, 209750, 219461, 166706, 216524, 230802, 244157,213444
259,201408, 238071, 240974, 200446, 237729, 51101, 209297, 204347, 210389, 224525,201408
260,217805, 244357, 193839, 243721, 208224, 250895, 188762, 201549, 173030, 200922,217805
261,244776, 242336, 221433, 229606, 238684, 213281, 229047, 181379, 193574, 237532,244776
262,204424, 202214, 233135, 244791, 215256, 210392, 183147, 229393, 186122, 235190,204424
263,245853, 237936, 177568, 151270, 178315, 179765, 183900, 214506, 181123, 223045,245853
264,216015, 178171, 198326, 243726, 188978, 221923, 194847, 239641, 244923, 225696,216015
265,246843, 167437, 199386, 226108, 228810, 172094, 221930, 223922, 247057, 223625,246843
266,205159, 214317, 191506, 232656, 242512, 238238, 207646, 199745, 221540, 177571,205159
267,220816, 238577, 45186, 170660, 173337, 209629, 245125, 235312, 230235, 200322,220816
268,226084, 226568, 184084, 211061, 243704, 240753, 142721, 152031, 204334, 238958,226084
269,223045, 205659, 239669, 226385, 198009, 179547, 237449, 213464, 211135, 221890,223045
270,239189, 190738, 242634, 237300, 8205, 222829, 191055, 224438, 186745, 202225,239189
271,216442, 234893, 203933, 179592, 223953, 230950, 243675, 219967, 223495, 191050,216442
272,198487, 203971, 241097, 235580, 208585, 203842, 238934, 234677, 198776, 204282,198487
273,217649, 215808, 244955, 200473, 186449, 223197, 181477, 216699, 237405, 177802,217649
274,169933, 139259, 240292, 239401, 168362, 217047, 221525, 172573, 251766, 242187,169933
275,215188, 211382, 234512, 221277, 194334, 158867, 228592, 208861, 221643, 222488,215188
276,229082, 233152, 203138, 233780, 194092, 238131, 181917, 222022, 220035, 209304,229082
277,50542, 188844, 246677, 245536, 184407, 185316, 152746, 173325, 223746, 224387,50542
278,242023, 238238, 144415, 244897, 204688, 226197, 241297, 248045, 189357, 220209,242023
279,240298, 234787, 235781, 251002, 223436, 198776, 232439, 219538, 222685, 240502,240298
280,214771, 158777, 243710, 183524, 235320, 240563, 229206, 235572, 210896, 235905,214771
281,234433, 242601, 151508, 231735, 209378, 230495, 225068, 222724, 221789, 244017,234433
282,216705, 242677, 243733, 208166, 243881, 252559, 199339, 220041, 184134, 138798,216705
283,243127, 225602, 225946, 243945, 229206, 252081, 201408, 243551, 202909, 223524,243127
284,246914, 159948, 139668, 252515, 214163, 171579, 178224, 209987, 226278, 205939,246914
285,210646, 184823, 195057, 229494, 202214, 244441, 226723, 251818, 233445, 237495,210646
286,233189, 246798, 204212, 205593, 224633, 236214, 228188, 169912, 240129, 198899,233189
287,185187, 190887, 225202, 234060, 213982, 243490, 139476, 241433, 162174, 214575,185187
288,179633, 222566, 229627, 213428, 235312, 229261, 143751, 241339, 208597, 209484,179633
289,232673, 233033, 192824, 206467, 212137, 240282, 200228, 183425, 214600, 226122,232673
290,209332, 191552, 206651, 241486, 183580, 215010, 240123, 240429, 224770, 234073,209332
291,196064, 213690, 247385, 194334, 204071, 240941, 200461, 246324, 194947, 221859,196064
292,207954, 239504, 242656, 219496, 193143, 224143, 208141, 238907, 185019, 222634,207954
293,242050, 207557, 204092, 231280, 225477, 208929, 233230, 213090, 192643, 193943,242050
294,199721, 211840, 245632, 251600, 188157, 162221, 239319, 228415, 205288, 228932,199721
295,237310, 223635, 101880, 104900, 160146, 239834, 230443, 181460, 208298, 243958,237310
296,252715, 218298, 212618, 162223, 186884, 191068, 184726, 101488, 225361, 170903,252715
297,162952, 195481, 107305, 205846, 188042, 221819, 235297, 186849, 243125, 243096,162952
298,221430, 222916, 211875, 237279, 232284, 219626, 248778, 243622, 232465, 203619,221430
299,205409, 240786, 247993, 204826, 209177, 202827, 242196, 222079, 216227, 232270,205409
300,226491, 190792, 231436, 223633, 188825, 204282, 238805, 137356, 172112, 221488,226491
301,247328, 233195, 215250, 236365, 236639, 205175, 104737, 215159, 45595, 242642,247328
302,243981, 203458, 192102, 177549, 192043, 230448, 112244, 176608, 156713, 235611,243981
303,183544, 186562, 192471, 228941, 232004, 221216, 163369, 203030, 212192, 234198,183544
304,233309, 233403, 216139, 242585, 226879, 230912, 213377, 241785, 169464, 201051,233309
305,251684, 176993, 235190, 240730, 194372, 245776, 246744, 203824, 188900, 238505,251684
306,213520, 236196, 177414, 241476, 245362, 239776, 216356, 110787, 168354, 216773,213520
307,189209, 230479, 173188, 234991, 240538, 183024, 210603, 214570, 231207, 214040,189209
308,220819, 177953, 219258, 230452, 232444, 221731, 236842, 203574, 228309, 183916,220819
309,208984, 208797, 200718, 244041, 223925, 205669, 237300, 203357, 243245, 235151,208984
310,238595, 229537, 225146, 234903, 245556, 222488, 236295, 219672, 150724, 201301,238595
311,219937, 180206, 209888, 230429, 247728, 210429, 186422, 202457, 232599, 158657,219937
312,236214, 202084, 197647, 186130, 163570, 218066, 205158, 235860, 230480, 236842,236214
313,225673, 171642, 242047, 160295, 193739, 204884, 245723, 246841, 226229, 180819,225673
314,234534, 217007, 193244, 230079, 232625, 182130, 180714, 178284, 233740, 224388,234534
315,243529, 179742, 215118, 233152, 191034, 231212, 229321, 192337, 237640, 236007,243529
316,200346, 191996, 227857, 173498, 209567, 251246, 224322, 210802, 200440, 45595,200346
